i /V10/MINUS; dc (I) X,i /V10/MINUS; dc (I) Y,i /V12/MINUS; dc (I) X,i /V12/MINUS; dc (I) Y,i /V9/MINUS; dc (I) X,i /V9/MINUS; dc (I) Y
-40,1.115163363761774e-09,-40,1.386220690104488e-09,-40,1.389086452341633e-09
-36.2,1.115907480085091e-09,-36.2,1.396934796420396e-09,-36.2,1.389140466698014e-09
-32.40000000000001,1.116662137967753e-09,-32.40000000000001,1.408897127253523e-09,-32.40000000000001,1.38919527180818e-09
-28.6,1.117426008679372e-09,-28.6,1.42229273375171e-09,-28.6,1.389250562641748e-09
-24.8,1.118200473340522e-09,-24.8,1.437343923590905e-09,-24.8,1.389306352298093e-09
-21,1.118987380015127e-09,-21,1.454318815464633e-09,-21,1.389362662583443e-09
-17.2,1.119789199372527e-09,-17.2,1.473541999962563e-09,-17.2,1.389419515293037e-09
-13.4,1.120609281070241e-09,-13.4,1.495407346010123e-09,-13.4,1.389476931802488e-09
-9.600000000000001,1.121452209015981e-09,-9.600000000000001,1.520393256355382e-09,-9.600000000000001,1.389534933548392e-09
-5.800000000000002,1.122324292933646e-09,-5.800000000000002,1.549080697063375e-09,-5.800000000000002,1.38959354299449e-09
-2.000000000000002,1.123234237714084e-09,-2.000000000000002,1.582174341943469e-09,-2.000000000000002,1.389652785210469e-09
1.799999999999998,1.12419403675518e-09,1.799999999999998,1.620527187093365e-09,1.799999999999998,1.389712690442495e-09
5.599999999999998,1.125220168485201e-09,5.599999999999998,1.665169003146667e-09,5.599999999999998,1.389773298606046e-09
9.399999999999999,1.126335181062162e-09,9.399999999999999,1.717339004432904e-09,9.399999999999999,1.389834666150824e-09
13.2,1.127569754436175e-09,13.2,1.778523127363267e-09,13.2,1.389896877285675e-09
17,1.128965406124427e-09,17,1.850496356706548e-09,17,1.389960061233707e-09
20.8,1.130577973604618e-09,20.8,1.935370927269433e-09,20.8,1.390024420707775e-09
24.6,1.1324821012955e-09,24.6,2.035654118361032e-09,24.6,1.390090276030018e-09
28.4,1.134776982624724e-09,28.4,2.154333468298382e-09,28.4,1.390158136026686e-09
32.2,1.137593679546044e-09,32.2,2.295008323876522e-09,32.2,1.3902288082182e-09
36,1.141104415958454e-09,36,2.461925831518373e-09,36,1.390303572383776e-09
39.8,1.145534366812903e-09,39.8,2.659911745791838e-09,39.8,1.39038444758117e-09
43.59999999999999,1.151176568415951e-09,43.59999999999999,2.894536075917786e-09,43.59999999999999,1.390474603830358e-09
47.39999999999999,1.158410766162602e-09,47.39999999999999,3.172351280753925e-09,47.39999999999999,1.390578986896105e-09
51.19999999999999,1.167727236404484e-09,51.19999999999999,3.500996033169565e-09,51.19999999999999,1.390705259198359e-09
54.99999999999999,1.179756916978229e-09,54.99999999999999,3.889182670228237e-09,54.99999999999999,1.390865205286811e-09
58.79999999999998,1.195311846388181e-09,58.79999999999998,4.34677728113296e-09,58.79999999999998,1.391077050008793e-09
62.59999999999998,1.215424335431777e-09,62.59999999999998,4.884974426765673e-09,62.59999999999998,1.391367527043908e-09
66.39999999999998,1.241420093142403e-09,66.39999999999998,5.516476092317007e-09,66.39999999999998,1.391777513824961e-09
70.19999999999997,1.2749959795249e-09,70.19999999999997,6.255673585293433e-09,70.19999999999997,1.392368319852862e-09
73.99999999999997,1.318309019876941e-09,73.99999999999997,7.118822414175823e-09,73.99999999999997,1.393229590344227e-09
77.79999999999997,1.374112830823565e-09,77.79999999999997,8.124219347556186e-09,77.79999999999997,1.39449298419787e-09
81.59999999999997,1.445918999176216e-09,81.59999999999997,9.292383875800613e-09,81.59999999999997,1.39634985683467e-09
85.39999999999996,1.53820683642645e-09,85.39999999999996,1.064625306157955e-08,85.39999999999996,1.399076155941797e-09
89.19999999999996,1.65669267988855e-09,89.19999999999996,1.221138859177156e-08,89.19999999999996,1.403066798045387e-09
92.99999999999996,1.808675768618925e-09,92.99999999999996,1.401619591178523e-08,92.99999999999996,1.408882805188397e-09
96.79999999999995,2.00348210434619e-09,96.79999999999995,1.609215544630057e-08,96.79999999999995,1.417315576621501e-09
100.6,2.253032988175763e-09,100.6,1.847406613520331e-08,100.6,1.429474300855817e-09
104.3999999999999,2.572592159524758e-09,104.3999999999999,2.120030185423595e-08,104.3999999999999,1.446905858925558e-09
108.1999999999999,2.981886449864116e-09,108.1999999999999,2.431308147803356e-08,108.1999999999999,1.471785781529618e-09
111.9999999999999,3.504025454406891e-09,111.9999999999999,2.785875370932318e-08,111.9999999999999,1.507865782448e-09
115.7999999999999,4.168695853934869e-09,115.7999999999999,3.188809808765449e-08,115.7999999999999,1.559942377505592e-09
119.5999999999999,5.019853406243296e-09,119.5999999999999,3.645664401186078e-08,119.5999999999999,1.631824027972474e-09
123.3999999999999,6.109817799672742e-09,123.3999999999999,4.162501017221037e-08,123.3999999999999,1.730598014728797e-09
127.1999999999999,7.50550404126997e-09,127.1999999999999,4.745926720916357e-08,127.1999999999999,1.865771242008043e-09
130.9999999999999,9.292420464473756e-09,130.9999999999999,5.403132725712568e-08,130.9999999999999,2.050028304743786e-09
134.8,1.157969184300292e-08,134.8,6.141936479304943e-08,134.8,2.300221263189623e-09
138.6,1.450634392276158e-08,138.6,6.970827420019619e-08,138.6,2.638603621385342e-09
142.4,1.824913893763491e-08,142.4,7.899017060860518e-08,142.4,3.094377955213219e-09
146.2,2.30322903564558e-08,146.2,8.936494191921808e-08,146.2,3.706315435824442e-09
150,2.913955677696818e-08,150,1.009408615015849e-07,150,4.526254352488643e-09
