i /V10/MINUS; dc (I) X,i /V10/MINUS; dc (I) Y,i /V12/MINUS; dc (I) X,i /V12/MINUS; dc (I) Y,i /V9/MINUS; dc (I) X,i /V9/MINUS; dc (I) Y
-40,1.115163363761774e-09,-40,1.383865738872397e-09,-40,1.389086452341622e-09
-36.2,1.115907479787744e-09,-36.2,1.394617320333348e-09,-36.2,1.389140466696782e-09
-32.40000000000001,1.116662138016235e-09,-32.40000000000001,1.406621123348862e-09,-32.40000000000001,1.389195271808385e-09
-28.6,1.117426008727845e-09,-28.6,1.420063075338123e-09,-28.6,1.389250562641967e-09
-24.8,1.118200473033288e-09,-24.8,1.435166617373752e-09,-24.8,1.389306352296756e-09
-21,1.11898737934356e-09,-21,1.452201216887718e-09,-21,1.389362662580462e-09
-17.2,1.119789198956131e-09,-17.2,1.471493061338404e-09,-17.2,1.389419515291605e-09
-13.4,1.120609280751931e-09,-13.4,1.493437901238945e-09,-13.4,1.389476931801048e-09
-9.600000000000001,1.121452209069407e-09,-9.600000000000001,1.518516346238704e-09,-9.600000000000001,1.38953493354864e-09
-5.800000000000002,1.122324292507964e-09,-5.800000000000002,1.547311938677726e-09,-5.800000000000002,1.389593542992958e-09
-2.000000000000002,1.123234237287674e-09,-2.000000000000002,1.58053234581617e-09,-2.000000000000002,1.389652785208916e-09
1.799999999999998,1.124194035944689e-09,1.799999999999998,1.619034025610796e-09,1.799999999999998,1.389712690439056e-09
5.599999999999998,1.125220169083363e-09,5.599999999999998,1.663850733919298e-09,5.599999999999998,1.389773298608486e-09
9.399999999999999,1.126335180692015e-09,9.399999999999999,1.716226253080217e-09,9.399999999999999,1.389834666149496e-09
13.2,1.127569754246842e-09,13.2,1.777651736621411e-09,13.2,1.389896877284709e-09
17,1.12896540595766e-09,17,1.849908115605917e-09,17,1.38996006123342e-09
20.8,1.130577973797963e-09,20.8,1.935114413845557e-09,20.8,1.390024420708788e-09
24.6,1.132482101102627e-09,24.6,2.035785749272758e-09,24.6,1.390090276028969e-09
28.4,1.134776982489901e-09,28.4,2.154919032604183e-09,28.4,1.390158136025386e-09
32.2,1.137593679274705e-09,32.2,2.296125769582117e-09,32.2,1.390228808217293e-09
36,1.141104415458362e-09,36,2.463670724799477e-09,36,1.390303572381611e-09
39.8,1.145534366810975e-09,39.8,2.66240496353401e-09,39.8,1.390384447581793e-09
43.59999999999999,1.151176568724325e-09,43.59999999999999,2.897927151630585e-09,43.59999999999999,1.390474603831476e-09
47.39999999999999,1.158410766398714e-09,47.39999999999999,3.176814288040698e-09,47.39999999999999,1.390578986896817e-09
51.19999999999999,1.167727236035985e-09,51.19999999999999,3.506725303105749e-09,51.19999999999999,1.390705259196882e-09
54.99999999999999,1.179756917834769e-09,54.99999999999999,3.896390150771548e-09,54.99999999999999,1.390865205291282e-09
58.79999999999998,1.195311846391506e-09,58.79999999999998,4.35568837297056e-09,58.79999999999998,1.391077050008811e-09
62.59999999999998,1.215424335435244e-09,62.59999999999998,4.895827524246225e-09,62.59999999999998,1.391367527043926e-09
66.39999999999998,1.241420093051387e-09,66.39999999999998,5.529532799183758e-09,66.39999999999998,1.39177751382435e-09
70.19999999999997,1.274995979003835e-09,70.19999999999997,6.271231817574744e-09,70.19999999999997,1.392368319850188e-09
73.99999999999997,1.318309019646552e-09,73.99999999999997,7.137225231464689e-09,73.99999999999997,1.39322959034257e-09
77.79999999999997,1.374112831063561e-09,77.79999999999997,8.145858278681283e-09,77.79999999999997,1.394492984199768e-09
81.59999999999997,1.445918999854191e-09,81.59999999999997,9.317701423660964e-09,81.59999999999997,1.39634985683949e-09
85.39999999999996,1.538206835231676e-09,85.39999999999996,1.067574578349395e-08,85.39999999999996,1.399076155934587e-09
89.19999999999996,1.656692678529623e-09,89.19999999999996,1.224561100607426e-08,89.19999999999996,1.403066798036656e-09
92.99999999999996,1.808675768876436e-09,92.99999999999996,1.405576509616159e-08,92.99999999999996,1.408882805189425e-09
96.79999999999995,2.00348210424988e-09,96.79999999999995,1.613775616819358e-08,96.79999999999995,1.417315576616761e-09
100.6,2.253032987312943e-09,100.6,1.852645640769368e-08,100.6,1.429474300830868e-09
104.3999999999999,2.572592157761759e-09,104.3999999999999,2.126031886940616e-08,104.3999999999999,1.446905858889383e-09
108.1999999999999,2.98188644982803e-09,108.1999999999999,2.438164787161742e-08,108.1999999999999,1.471785781527425e-09
111.9999999999999,3.504025456682059e-09,111.9999999999999,2.793688417390623e-08,111.9999999999999,1.507865787271819e-09
115.7999999999999,4.168695853906436e-09,115.7999999999999,3.197690632101238e-08,115.7999999999999,1.559942377435001e-09
119.5999999999999,5.019853405700613e-09,119.5999999999999,3.655735001605405e-08,119.5999999999999,1.631824026622493e-09
123.3999999999999,6.109817800753885e-09,123.3999999999999,4.173894792262888e-08,123.3999999999999,1.73059801741428e-09
127.1999999999999,7.505504041736652e-09,127.1999999999999,4.758789271993572e-08,127.1999999999999,1.865771243167973e-09
130.9999999999999,9.292420462789272e-09,130.9999999999999,5.417622708022924e-08,130.9999999999999,2.050028300569311e-09
134.8,1.157969184236991e-08,134.8,6.158226500055284e-08,134.8,2.300221261623377e-09
138.6,1.45063439236958e-08,138.6,6.989104991503816e-08,138.6,2.638603623685307e-09
142.4,1.824913893771159e-08,142.4,7.919485616914547e-08,142.4,3.094377954793906e-09
146.2,2.303229035657398e-08,146.2,8.959374178764167e-08,146.2,3.706315436902358e-09
150,2.913955677697159e-08,150,1.011961620570759e-07,150,4.526254352591367e-09
