i /V10/MINUS; dc (I) X,i /V10/MINUS; dc (I) Y,i /V12/MINUS; dc (I) X,i /V12/MINUS; dc (I) Y,i /V9/MINUS; dc (I) X,i /V9/MINUS; dc (I) Y
-40,1.117455838167437e-09,-40,1.386141375561121e-09,-40,1.389086452341633e-09
-36.2,1.1181724324459e-09,-36.2,1.396851839683549e-09,-36.2,1.389140466669818e-09
-32.40000000000001,1.118899342360083e-09,-32.40000000000001,1.408815140956837e-09,-32.40000000000001,1.389195271758079e-09
-28.6,1.119635434656442e-09,-28.6,1.422217894314813e-09,-28.6,1.389250562663967e-09
-24.8,1.120382077813255e-09,-24.8,1.437284476148844e-09,-24.8,1.389306352252557e-09
-21,1.121141098410177e-09,-21,1.454285771562105e-09,-21,1.389362662467666e-09
-17.2,1.121914946073085e-09,-17.2,1.473550025871402e-09,-17.2,1.389419515258674e-09
-13.4,1.122706941439306e-09,-13.4,1.495475881852574e-09,-13.4,1.389476931702323e-09
-9.600000000000001,1.123521639663559e-09,-9.600000000000001,1.520547914369768e-09,-9.600000000000001,1.389534933482643e-09
-5.800000000000002,1.124365317452013e-09,-5.800000000000002,1.549354995742028e-09,-5.800000000000002,1.38959354291126e-09
-2.000000000000002,1.125246646686186e-09,-2.000000000000002,1.582611843648577e-09,-2.000000000000002,1.389652785112522e-09
1.799999999999998,1.126177585198175e-09,1.799999999999998,1.62118412019414e-09,1.799999999999998,1.389712690378001e-09
5.599999999999998,1.127174579713597e-09,5.599999999999998,1.666117466584936e-09,5.599999999999998,1.389773298482536e-09
9.399999999999999,1.128260145071659e-09,9.399999999999999,1.718670872424414e-09,9.399999999999999,1.389834666062476e-09
13.2,1.129464938654561e-09,13.2,1.780354788237878e-09,13.2,1.389896877185938e-09
17,1.130830463389562e-09,17,1.852974402266089e-09,17,1.389960061072627e-09
20.8,1.13241255681406e-09,20.8,1.93867871722069e-09,20.8,1.390024420588712e-09
24.6,1.134285881527319e-09,24.6,2.040017984342726e-09,24.6,1.390090276003342e-09
28.4,1.136549674103405e-09,28.4,2.160021620120948e-09,28.4,1.390158135937616e-09
32.2,1.139335070614769e-09,32.2,2.302309713368826e-09,32.2,1.390228808223174e-09
36,1.14281440227722e-09,36,2.471144336980542e-09,36,1.390303572327467e-09
39.8,1.147212991671985e-09,39.8,2.67141662670587e-09,39.8,1.390384447519319e-09
43.59999999999999,1.15282405926746e-09,43.59999999999999,2.908802899897298e-09,43.59999999999999,1.390474603762145e-09
47.39999999999999,1.160027571146809e-09,47.39999999999999,3.189980945360313e-09,47.39999999999999,1.390578986771928e-09
51.19999999999999,1.169314048821931e-09,51.19999999999999,3.522724841231107e-09,51.19999999999999,1.390705259169972e-09
54.99999999999999,1.181314683525678e-09,54.99999999999999,3.915883839840404e-09,54.99999999999999,1.390865205305441e-09
58.79999999999998,1.196841665178135e-09,58.79999999999998,4.379476534312561e-09,58.79999999999998,1.391077050007231e-09
62.59999999999998,1.216927607692851e-09,62.59999999999998,4.924858759815429e-09,62.59999999999998,1.391367527043807e-09
66.39999999999998,1.242898217715521e-09,66.39999999999998,5.56490593406669e-09,66.39999999999998,1.391777513727162e-09
70.19999999999997,1.276449980600807e-09,70.19999999999997,6.31421604632197e-09,70.19999999999997,1.39236831980335e-09
73.99999999999997,1.319739383965439e-09,73.99999999999997,7.189287083390851e-09,73.99999999999997,1.393229590292095e-09
77.79999999999997,1.375518895018651e-09,77.79999999999997,8.208690714664096e-09,77.79999999999997,1.394492984147713e-09
81.59999999999997,1.447298188494278e-09,81.59999999999997,9.393253497827693e-09,81.59999999999997,1.396349856730012e-09
85.39999999999996,1.539553628709534e-09,85.39999999999996,1.076625415575503e-08,85.39999999999996,1.399076155827524e-09
89.19999999999996,1.657997234496671e-09,89.19999999999996,1.235363380077686e-08,89.19999999999996,1.403066797982954e-09
92.99999999999996,1.809922129924021e-09,92.99999999999996,1.418421841642978e-08,92.99999999999996,1.408882805081388e-09
96.79999999999995,2.004645921555791e-09,96.79999999999995,1.628995347183998e-08,96.79999999999995,1.417315576566641e-09
100.6,2.254078617485028e-09,100.6,1.870615090641701e-08,100.6,1.429474300737188e-09
104.3999999999999,2.573460965283492e-09,104.3999999999999,2.147174906981285e-08,104.3999999999999,1.446905858786332e-09
108.1999999999999,2.98239662153504e-09,108.1999999999999,2.46295863960066e-08,108.1999999999999,1.471785781529339e-09
111.9999999999999,3.503974752249778e-09,111.9999999999999,2.822668993498786e-08,111.9999999999999,1.507865782395849e-09
115.7999999999999,4.167884795538803e-09,115.7999999999999,3.231458015444201e-08,115.7999999999999,1.559942377485896e-09
119.5999999999999,5.017999546133198e-09,119.5999999999999,3.694959383738598e-08,119.5999999999999,1.631824027163846e-09
123.3999999999999,6.10653948572231e-09,123.3999999999999,4.219322746072691e-08,123.3999999999999,1.730598014675798e-09
127.1999999999999,7.500296364094594e-09,127.1999999999999,4.81125038571933e-08,127.1999999999999,1.865771241997743e-09
130.9999999999999,9.284624580273668e-09,130.9999999999999,5.478036580127065e-08,130.9999999999999,2.050028302270718e-09
134.8,1.156845565195369e-08,134.8,6.227610091768479e-08,134.8,2.300221260854502e-09
138.6,1.449057346110186e-08,138.6,7.068580329716415e-08,138.6,2.638603621981899e-09
142.4,1.822743891727502e-08,142.4,8.010287835050247e-08,142.4,3.094377955221798e-09
146.2,2.300289182019645e-08,146.2,9.062859877142142e-08,146.2,3.706315436141564e-09
150,2.910022927014072e-08,150,1.02372721054874e-07,150,4.52625435254476e-09
