i /V10/MINUS; dc (I) X,i /V10/MINUS; dc (I) Y,i /V12/MINUS; dc (I) X,i /V12/MINUS; dc (I) Y,i /V9/MINUS; dc (I) X,i /V9/MINUS; dc (I) Y
-40,1.571964294530122e-05,-40,5.013130393338906e-07,-40,1.416985752890885e-09
-36.2,1.573381836602434e-05,-36.2,5.013240598860954e-07,-36.2,1.417006410408553e-09
-32.40000000000001,1.574755656565661e-05,-32.40000000000001,5.013363735863975e-07,-32.40000000000001,1.417027317689268e-09
-28.6,1.576088060132579e-05,-28.6,5.013501705900774e-07,-28.6,1.417048267008992e-09
-24.8,1.577381052467186e-05,-24.8,5.01365679334735e-07,-24.8,1.41706925199936e-09
-21,1.578636551956968e-05,-21,5.013831752146814e-07,-21,1.41709027546628e-09
-17.2,1.579856394835676e-05,-17.2,5.014029914831792e-07,-17.2,1.417111342004865e-09
-13.4,1.581042339546623e-05,-13.4,5.014255323447525e-07,-13.4,1.417132458458641e-09
-9.600000000000001,1.582196070857623e-05,-9.600000000000001,5.014512885480109e-07,-9.600000000000001,1.417153634815996e-09
-5.800000000000002,1.583319203796448e-05,-5.800000000000002,5.014808558107813e-07,-5.800000000000002,1.417174885644258e-09
-2.000000000000002,1.584413287472797e-05,-2.000000000000002,5.01514956427188e-07,-2.000000000000002,1.417196231783312e-09
1.799999999999998,1.585479808856265e-05,1.799999999999998,5.015544644210906e-07,1.799999999999998,1.417217704362757e-09
5.599999999999998,1.586520196589337e-05,5.599999999999998,5.016004346245337e-07,5.599999999999998,1.417239348990172e-09
9.399999999999999,1.587535824931959e-05,9.399999999999999,5.016541360728827e-07,9.399999999999999,1.417261233355588e-09
13.2,1.588528017963396e-05,13.2,5.017170901225181e-07,13.2,1.417283460422576e-09
17,1.589498054208315e-05,17,5.017911137376007e-07,17,1.417306186502075e-09
20.8,1.590447171912482e-05,20.8,5.018783687216869e-07,20.8,1.417329652215718e-09
24.6,1.591376575270659e-05,24.6,5.019814201189426e-07,24.6,1.417354230025201e-09
28.4,1.592287442006324e-05,28.4,5.021033189268416e-07,28.4,1.417380500983796e-09
32.2,1.593180932814147e-05,32.2,5.022477255382533e-07,32.2,1.417409371275093e-09
36,1.594058203284321e-05,36,5.024189565948733e-07,36,1.417442256708403e-09
39.8,1.59492041898696e-05,39.8,5.026219461591009e-07,39.8,1.417481363407292e-09
43.59999999999999,1.595768774313512e-05,43.59999999999999,5.028624006682387e-07,43.59999999999999,1.417530120078902e-09
47.39999999999999,1.596604515284166e-05,47.39999999999999,5.03147017091238e-07,47.39999999999999,1.417593828119651e-09
51.19999999999999,1.597428965584599e-05,51.19999999999999,5.034835888505216e-07,51.19999999999999,1.41768063888643e-09
54.99999999999999,1.598243553312425e-05,54.99999999999999,5.038809981420441e-07,54.99999999999999,1.417803004684169e-09
58.79999999999998,1.599049764473562e-05,58.79999999999998,5.043492974815889e-07,58.79999999999998,1.417979915981243e-09
62.59999999999998,1.599849431744955e-05,62.59999999999998,5.048998907530034e-07,62.59999999999998,1.418239616799819e-09
66.39999999999998,1.600644356544957e-05,66.39999999999998,5.055457261056293e-07,66.39999999999998,1.418624641946844e-09
70.19999999999997,1.601436310605583e-05,70.19999999999997,5.063014839938042e-07,70.19999999999997,1.419198206463494e-09
73.99999999999997,1.60222727123548e-05,73.99999999999997,5.071837509205797e-07,73.99999999999997,1.420053002642542e-09
77.79999999999997,1.603019096380346e-05,77.79999999999997,5.08211195156095e-07,77.79999999999997,1.421324503320187e-09
81.59999999999997,1.60381354048555e-05,81.59999999999997,5.094047516635489e-07,81.59999999999997,1.423209019530038e-09
85.39999999999996,1.604612253155837e-05,85.39999999999996,5.107878224502684e-07,85.39999999999996,1.425988875757909e-09
89.19999999999996,1.605416833264926e-05,89.19999999999996,5.123864900741125e-07,89.19999999999996,1.430067087756972e-09
92.99999999999996,1.606228965554413e-05,92.99999999999996,5.14229743970198e-07,92.99999999999996,1.43601477168016e-09
96.79999999999995,1.607050366241055e-05,96.79999999999995,5.163497197933699e-07,96.79999999999995,1.444635498820349e-09
100.6,1.60788329173831e-05,100.6,5.18781952344341e-07,100.6,1.457052039531229e-09
104.3999999999999,1.608730326971983e-05,104.3999999999999,5.215656430632181e-07,104.3999999999999,1.474822495085697e-09
108.1999999999999,1.609594735273343e-05,108.1999999999999,5.247439436073438e-07,108.1999999999999,1.500094804195782e-09
111.9999999999999,1.610480636238599e-05,111.9999999999999,5.283642556223387e-07,111.9999999999999,1.535810633461328e-09
115.7999999999999,1.611393144641887e-05,115.7999999999999,5.324785528871279e-07,115.7999999999999,1.585973775693832e-09
119.5999999999999,1.612338750271678e-05,119.5999999999999,5.371437229133252e-07,119.5999999999999,1.655999809467858e-09
123.3999999999999,1.6133255786725e-05,123.3999999999999,5.424219380541958e-07,123.3999999999999,1.753170413014528e-09
127.1999999999999,1.614363905466173e-05,127.1999999999999,5.483810521624411e-07,127.1999999999999,1.887219138236814e-09
130.9999999999999,1.615466646836898e-05,130.9999999999999,5.550950368373679e-07,130.9999999999999,2.071083543273816e-09
134.8,1.616650055594075e-05,134.8,5.62644456969056e-07,134.8,2.321864969628129e-09
138.6,1.617934570233183e-05,138.6,5.71116994976174e-07,138.6,2.662047254098796e-09
142.4,1.61934586499025e-05,142.4,5.806080310534285e-07,142.4,3.121036333732248e-09
146.2,1.620916138351561e-05,146.2,5.912212876841839e-07,146.2,3.73709567641957e-09
150,1.622685680362e-05,150,6.030695468494685e-07,150,4.559767677755035e-09
