i /V10/MINUS; dc (I) X,i /V10/MINUS; dc (I) Y,i /V12/MINUS; dc (I) X,i /V12/MINUS; dc (I) Y,i /V9/MINUS; dc (I) X,i /V9/MINUS; dc (I) Y
-40,1.115163363761774e-09,-40,1.381102615266653e-09,-40,1.389086452341633e-09
-36.2,1.115907480527024e-09,-36.2,1.391742210978569e-09,-36.2,1.389140466607353e-09
-32.40000000000001,1.116662138317325e-09,-32.40000000000001,1.403623881542172e-09,-32.40000000000001,1.389195271715334e-09
-28.6,1.117426008679419e-09,-28.6,1.416931886106094e-09,-28.6,1.389250562641754e-09
-24.8,1.118200473340415e-09,-24.8,1.431887531865046e-09,-24.8,1.389306352298093e-09
-21,1.118987380015286e-09,-21,1.44875766570672e-09,-21,1.389362662583438e-09
-17.2,1.119789199839755e-09,-17.2,1.467865258072248e-09,-17.2,1.389419515246347e-09
-13.4,1.120609280967452e-09,-13.4,1.489602115278362e-09,-13.4,1.38947693170525e-09
-9.600000000000001,1.121452209015893e-09,-9.600000000000001,1.514444021939281e-09,-9.600000000000001,1.389534933450636e-09
-5.800000000000002,1.122324292933422e-09,-5.800000000000002,1.542968635571704e-09,-5.800000000000002,1.389593542994485e-09
-2.000000000000002,1.123234237714124e-09,-2.000000000000002,1.575876472118113e-09,-2.000000000000002,1.389652785111727e-09
1.799999999999998,1.124194036258743e-09,1.799999999999998,1.614015335870572e-09,1.799999999999998,1.389712690341365e-09
5.599999999999998,1.125220168987389e-09,5.599999999999998,1.658408560910413e-09,5.599999999999998,1.389773298608018e-09
9.399999999999999,1.126335181062205e-09,9.399999999999999,1.710287444046655e-09,9.399999999999999,1.389834666050716e-09
13.2,1.127569753812938e-09,13.2,1.771128260418806e-09,13.2,1.389896877132749e-09
17,1.128965406013206e-09,17,1.842694286023874e-09,17,1.389960061132742e-09
20.8,1.130577973604613e-09,20.8,1.927083611731787e-09,20.8,1.390024420707799e-09
24.6,1.132482101295194e-09,24.6,2.026786418089054e-09,24.6,1.390090275928266e-09
28.4,1.134776982624557e-09,28.4,2.144769582947328e-09,28.4,1.390158135924547e-09
32.2,1.137593680082911e-09,32.2,2.284607715973096e-09,32.2,1.390228808118009e-09
36,1.141104415958658e-09,36,2.45051899785801e-09,36,1.390303572383775e-09
39.8,1.145534366697774e-09,39.8,2.64729701849909e-09,39.8,1.390384447477966e-09
43.59999999999999,1.151176569081685e-09,43.59999999999999,2.880480734964711e-09,43.59999999999999,1.39047460372936e-09
47.39999999999999,1.158410766600931e-09,47.39999999999999,3.156597207465116e-09,47.39999999999999,1.390578986691043e-09
51.19999999999999,1.167727236964644e-09,51.19999999999999,3.483253233258982e-09,51.19999999999999,1.390705259096939e-09
54.99999999999999,1.179756916859543e-09,54.99999999999999,3.869109434256138e-09,54.99999999999999,1.390865205182453e-09
58.79999999999998,1.195311846400794e-09,58.79999999999998,4.323970474324361e-09,58.79999999999998,1.391077050008859e-09
62.59999999999998,1.21542433543178e-09,62.59999999999998,4.858949372144978e-09,62.59999999999998,1.391367527040763e-09
66.39999999999998,1.241420093142422e-09,66.39999999999998,5.486646373627233e-09,66.39999999999998,1.391777513824965e-09
70.19999999999997,1.274995979525068e-09,70.19999999999997,6.22134841053835e-09,70.19999999999997,1.392368319853108e-09
73.99999999999997,1.31830901987698e-09,73.99999999999997,7.079202886942063e-09,73.99999999999997,1.39322959023945e-09
77.79999999999997,1.374112831492072e-09,77.79999999999997,8.078387567844537e-09,77.79999999999997,1.394492984202194e-09
81.59999999999997,1.445919000043018e-09,81.59999999999997,9.239287814349218e-09,81.59999999999997,1.396349856839231e-09
85.39999999999996,1.538206835655233e-09,85.39999999999996,1.058468971028739e-08,85.39999999999996,1.3990761558333e-09
89.19999999999996,1.656692679029512e-09,89.19999999999996,1.213998595457951e-08,89.19999999999996,1.403066798039579e-09
92.99999999999996,1.808675768618882e-09,92.99999999999996,1.393339383128001e-08,92.99999999999996,1.4088828051884e-09
96.79999999999995,2.003482104346142e-09,96.79999999999995,1.599618513860191e-08,96.79999999999995,1.417315576621198e-09
100.6,2.253032988175769e-09,100.6,1.836292831703435e-08,100.6,1.429474300759615e-09
104.3999999999999,2.572592159524772e-09,104.3999999999999,2.107174337722743e-08,104.3999999999999,1.446905858741327e-09
108.1999999999999,2.981886449860405e-09,108.1999999999999,2.416457041033367e-08,108.1999999999999,1.471785781529094e-09
111.9999999999999,3.504025452340491e-09,111.9999999999999,2.768745282044494e-08,111.9999999999999,1.507865779570759e-09
115.7999999999999,4.168695853917467e-09,115.7999999999999,3.169083670499331e-08,115.7999999999999,1.559942377461986e-09
119.5999999999999,5.019853405936028e-09,119.5999999999999,3.62298882258243e-08,119.5999999999999,1.631824027208028e-09
123.3999999999999,6.109817799672945e-09,123.3999999999999,4.136483137520272e-08,123.3999999999999,1.730598014729475e-09
127.1999999999999,7.505504041270111e-09,127.1999999999999,4.716130896125118e-08,127.1999999999999,1.865771241965886e-09
130.9999999999999,9.292420464473719e-09,130.9999999999999,5.369077047894637e-08,130.9999999999999,2.050028304744311e-09
134.8,1.157969184206382e-08,134.8,6.103089129448311e-08,134.8,2.300221260848811e-09
138.6,1.450634392276132e-08,138.6,6.926602856162929e-08,138.6,2.63860362136943e-09
142.4,1.824913893763496e-08,142.4,7.848772044034438e-08,142.4,3.094377955213022e-09
146.2,2.30322903564558e-08,146.2,8.879523653379542e-08,146.2,3.706315435824699e-09
150,2.913955677696787e-08,150,1.002961890434188e-07,150,4.526254352467148e-09
