i /V10/MINUS; dc (I) X,i /V10/MINUS; dc (I) Y,i /V12/MINUS; dc (I) X,i /V12/MINUS; dc (I) Y,i /V9/MINUS; dc (I) X,i /V9/MINUS; dc (I) Y
-40,1.122040786978764e-09,-40,1.396218896150057e-09,-40,1.389086452341622e-09
-36.2,1.12270233567375e-09,-36.2,1.407071097093507e-09,-36.2,1.38914046669725e-09
-32.40000000000001,1.123373750274646e-09,-32.40000000000001,1.419197659786168e-09,-32.40000000000001,1.389195271809138e-09
-28.6,1.124054286890728e-09,-28.6,1.432789910732251e-09,-28.6,1.389250562642734e-09
-24.8,1.124745286584803e-09,-24.8,1.44807836471644e-09,-24.8,1.389306352297158e-09
-21,1.125448537131063e-09,-21,1.465341983272874e-09,-21,1.389362662580829e-09
-17.2,1.12616643919449e-09,-17.2,1.484919561469711e-09,-17.2,1.389419515292345e-09
-13.4,1.126902261686085e-09,-13.4,1.507223415000997e-09,-13.4,1.389476931801554e-09
-9.600000000000001,1.127660500028848e-09,-9.600000000000001,1.532755699230743e-09,-9.600000000000001,1.389534933549361e-09
-5.800000000000002,1.128447366203986e-09,-5.800000000000002,1.562127716082674e-09,-5.800000000000002,1.38959354299365e-09
-2.000000000000002,1.129271464347579e-09,-2.000000000000002,1.596082586709506e-09,-2.000000000000002,1.389652785209569e-09
1.799999999999998,1.130144682907972e-09,1.799999999999998,1.635521688841275e-09,1.799999999999998,1.389712690439954e-09
5.599999999999998,1.13108340140817e-09,5.599999999999998,1.681535277933982e-09,5.599999999999998,1.389773298609084e-09
9.399999999999999,1.132110072650279e-09,9.399999999999999,1.735437729179932e-09,9.399999999999999,1.38983466615038e-09
13.2,1.133255307050963e-09,13.2,1.798807843876021e-09,13.2,1.389896877285535e-09
17,1.134560577903953e-09,17,1.873534634750519e-09,17,1.38996006123454e-09
20.8,1.136081722344634e-09,20.8,1.961868928198494e-09,20.8,1.390024420709546e-09
24.6,1.13789344036967e-09,24.6,2.06648111685007e-09,24.6,1.390090276029682e-09
28.4,1.14009505674258e-09,28.4,2.190525694468189e-09,28.4,1.390158136026421e-09
32.2,1.142817852639013e-09,32.2,2.337713708160288e-09,32.2,1.3902288082187e-09
36,1.146234376196214e-09,36,2.512395015225606e-09,36,1.390303572382957e-09
39.8,1.150570241464547e-09,39.8,2.71965584311943e-09,39.8,1.390384447580244e-09
43.59999999999999,1.156119040861739e-09,43.59999999999999,2.965447229762473e-09,43.59999999999999,1.390474603832778e-09
47.39999999999999,1.163261179849845e-09,47.39999999999999,3.256748421150706e-09,47.39999999999999,1.390578986897569e-09
51.19999999999999,1.172487673453276e-09,51.19999999999999,3.601668057175356e-09,51.19999999999999,1.390705259198036e-09
54.99999999999999,1.18443021800055e-09,54.99999999999999,4.009432651008934e-09,54.99999999999999,1.390865205292412e-09
58.79999999999998,1.199901302715448e-09,58.79999999999998,4.490488654288964e-09,58.79999999999998,1.391077050008769e-09
62.59999999999998,1.219934152223002e-09,62.59999999999998,5.05667753515633e-09,62.59999999999998,1.391367527043952e-09
66.39999999999998,1.245854466945743e-09,66.39999999999998,5.721425054945605e-09,66.39999999999998,1.391777513825851e-09
70.19999999999997,1.279357982411426e-09,70.19999999999997,6.49995131788921e-09,70.19999999999997,1.392368319851374e-09
73.99999999999997,1.322600112099003e-09,73.99999999999997,7.409455476288429e-09,73.99999999999997,1.393229590343843e-09
77.79999999999997,1.378331021838556e-09,77.79999999999997,8.469297008303217e-09,77.79999999999997,1.394492984201552e-09
81.59999999999997,1.450056565416407e-09,81.59999999999997,9.701184864784636e-09,81.59999999999997,1.396349856841093e-09
85.39999999999996,1.542247214617675e-09,85.39999999999996,1.112938304669031e-08,85.39999999999996,1.399076155936066e-09
89.19999999999996,1.660606345177356e-09,89.19999999999996,1.278092949317157e-08,89.19999999999996,1.403066798037897e-09
92.99999999999996,1.812414853074009e-09,92.99999999999996,1.468586758672934e-08,92.99999999999996,1.408882805192945e-09
96.79999999999995,2.006973556218324e-09,96.79999999999995,1.687749013831612e-08,96.79999999999995,1.417315576620977e-09
100.6,2.256169880543713e-09,100.6,1.939259608518233e-08,100.6,1.429474300838182e-09
104.3999999999999,2.575198575686634e-09,104.3999999999999,2.227176045498368e-08,104.3999999999999,1.446905858904735e-09
108.1999999999999,2.983446216851935e-09,108.1999999999999,2.555961836723267e-08,108.1999999999999,1.4717711328516e-09
111.9999999999999,3.503873966211009e-09,111.9999999999999,2.930516416407042e-08,111.9999999999999,1.507865565077983e-09
115.7999999999999,4.16626150101113e-09,115.7999999999999,3.356206705331581e-08,115.7999999999999,1.559942926638323e-09
119.5999999999999,5.014291817918061e-09,119.5999999999999,3.838900506050935e-08,119.5999999999999,1.63182402605908e-09
123.3999999999999,6.099982858550422e-09,123.3999999999999,4.385001963177531e-08,123.3999999999999,1.730598016599869e-09
127.1999999999999,7.489881009760261e-09,127.1999999999999,5.001489364907758e-08,127.1999999999999,1.865771242052804e-09
130.9999999999999,9.269032812641875e-09,130.9999999999999,5.695955644591921e-08,130.9999999999999,2.050028299312437e-09
134.8,1.154598327250493e-08,134.8,6.476652016408821e-08,134.8,2.300221262770884e-09
138.6,1.44590325383831e-08,138.6,7.352535276823401e-08,138.6,2.638603624642506e-09
142.4,1.818403887634661e-08,142.4,8.333319417081863e-08,142.4,3.094377953767141e-09
146.2,2.294409474761987e-08,146.2,9.429532324667339e-08,146.2,3.706315436261532e-09
150,2.902157425648146e-08,150,1.065257850777843e-07,150,4.526254352542291e-09
