i /V6/MINUS; dc (I) X,i /V6/MINUS; dc (I) Y,i /V9/MINUS; dc (I) X,i /V9/MINUS; dc (I) Y,i /V8/MINUS; dc (I) X,i /V8/MINUS; dc (I) Y
-40,1.328269587535808e-10,-40,4.06670230874208e-11,-40,1.584778296132777e-09
-36.2,1.329470836716487e-10,-36.2,4.08907758862356e-11,-36.2,1.610394274351885e-09
-32.40000000000001,1.33070983994201e-10,-32.40000000000001,4.113379397703671e-11,-32.40000000000001,1.643651182079888e-09
-28.6,1.332020480810961e-10,-28.6,4.13990538435223e-11,-28.6,1.68675092841494e-09
-24.8,1.333409617168793e-10,-24.8,4.169009137665499e-11,-24.8,1.742415358025131e-09
-21,1.33488778263234e-10,-21,4.201112433706844e-11,-21,1.813989770855011e-09
-17.2,1.336471471232513e-10,-17.2,4.236720042733563e-11,-17.2,1.905564300537193e-09
-13.4,1.338185218972624e-10,-13.4,4.276437506692018e-11,-13.4,2.022157167245572e-09
-9.600000000000001,1.340165484125423e-10,-9.600000000000001,4.32099233632505e-11,-9.600000000000001,2.169910339920094e-09
-5.800000000000002,1.342691557774788e-10,-5.800000000000002,4.371259119960418e-11,-5.800000000000002,2.356087336375184e-09
-2.000000000000002,1.345599731072716e-10,-2.000000000000002,4.428289046612978e-11,-2.000000000000002,2.589267866773032e-09
1.799999999999998,1.34890732442355e-10,1.799999999999998,4.493344387463938e-11,1.799999999999998,2.879751717072579e-09
5.599999999999998,1.352850527696256e-10,5.599999999999998,4.567938517301604e-11,5.599999999999998,3.23963960315693e-09
9.399999999999999,1.357766289362515e-10,9.399999999999999,4.653882056630668e-11,9.399999999999999,3.683067113292477e-09
13.2,1.364158878572809e-10,13.2,4.753335736999757e-11,13.2,4.226496393528808e-09
17,1.372662504810078e-10,17,4.868870608134856e-11,17,4.888546828866847e-09
20.8,1.38407520935881e-10,20.8,5.003536210144853e-11,20.8,5.69057012350566e-09
24.6,1.399452491496249e-10,24.6,5.160937305650284e-11,24.6,6.657077573319793e-09
28.4,1.420180535344045e-10,28.4,5.345319799940726e-11,28.4,7.816021604802937e-09
32.2,1.448093101277221e-10,32.2,5.561666416766014e-11,32.2,9.199108535991217e-09
36,1.485595319901577e-10,36,5.815802698610699e-11,36,1.084213869352593e-08
39.8,1.535834833593115e-10,39.8,6.114513853866195e-11,39.8,1.278535347697829e-08
43.59999999999999,1.602911724293395e-10,43.59999999999999,6.465672960281537e-11,43.59999999999999,1.507380039566393e-08
47.39999999999999,1.692142054316933e-10,47.39999999999999,6.878380946877719e-11,47.39999999999999,1.775770928898236e-08
51.19999999999999,1.810401253324321e-10,51.19999999999999,7.363118762114211e-11,51.19999999999999,2.089287775658898e-08
54.99999999999999,1.966547604406287e-10,54.99999999999999,7.931912082264364e-11,54.99999999999999,2.454106350622237e-08
58.79999999999998,2.171968536261625e-10,58.79999999999998,8.598508800361031e-11,58.79999999999998,2.877038182395125e-08
62.59999999999998,2.441264363284441e-10,62.59999999999998,9.378569578011136e-11,62.59999999999998,3.36557059663651e-08
66.39999999999998,2.793120778958648e-10,66.39999999999998,1.028987154072375e-10,66.39999999999998,3.927906834419399e-08
70.19999999999997,3.251413733568866e-10,70.19999999999997,1.135252529131905e-10,70.19999999999997,4.573006061234594e-08
73.99999999999997,3.846604779513731e-10,73.99999999999997,1.258920520745937e-10,73.99999999999997,5.310623030486054e-08
77.79999999999997,4.617513884141004e-10,77.79999999999997,1.402539307129902e-10,77.79999999999997,6.151347204905813e-08
81.59999999999997,5.613566001277574e-10,81.59999999999997,1.568963491096669e-10,81.59999999999997,7.106641128778748e-08
85.39999999999996,6.897636012644235e-10,85.39999999999996,1.761381103108917e-10,85.39999999999996,8.188877833041225e-08
89.19999999999996,8.549647227412727e-10,89.19999999999996,1.98334191076584e-10,89.19999999999996,9.411377103910494e-08
92.99999999999996,1.067113601777205e-09,92.99999999999996,2.238787026460133e-10,92.99999999999996,1.078844042280312e-07
96.79999999999995,1.339100188104095e-09,96.79999999999995,2.532079813973445e-10,96.79999999999995,1.233538442952255e-07
100.6,1.687278499322478e-09,100.6,2.868038097986665e-10,100.6,1.406857274885316e-07
104.3999999999999,2.13238310970904e-09,104.3999999999999,3.251967698367267e-10,104.3999999999999,1.600544610705039e-07
108.1999999999999,2.700685568239139e-09,108.1999999999999,3.689697334223673e-10,108.1999999999999,1.816455062513391e-07
111.9999999999999,3.425427784356885e-09,111.9999999999999,4.187614963682946e-10,111.9999999999999,2.056556430489733e-07
115.7999999999999,4.348668890307652e-09,115.7999999999999,4.752705675706024e-10,115.7999999999999,2.322932167832277e-07
119.5999999999999,5.523525551323598e-09,119.5999999999999,5.392591288687746e-10,119.5999999999999,2.617783675418561e-07
123.3999999999999,7.017021203051491e-09,123.3999999999999,6.115571885986634e-10,123.3999999999999,2.943432437944719e-07
127.1999999999999,8.913641740558189e-09,127.1999999999999,6.930669594393192e-10,127.1999999999999,3.30232203089987e-07
130.9999999999999,1.131997989530716e-08,130.9999999999999,7.847675012456603e-10,130.9999999999999,3.697020031309521e-07
134.8,1.436965882361265e-08,134.8,8.877196831322241e-10,134.8,4.130219881968307e-07
138.6,1.822997850366033e-08,138.6,1.003071533231557e-09,138.6,4.604742777111848e-07
142.4,2.311046781371533e-08,142.4,1.13206406467088e-09,142.4,5.123539647530587e-07
146.2,2.927294831661148e-08,146.2,1.276037688154371e-09,146.2,5.689693357565026e-07
150,3.70438142341201e-08,150,1.436439349357767e-09,150,6.306421240849315e-07
