i /V0/MINUS; dc (I) X,i /V0/MINUS; dc (I) Y,i /V1/MINUS; dc (I) X,i /V1/MINUS; dc (I) Y,i /V5/MINUS; dc (I) X,i /V5/MINUS; dc (I) Y,i /V6/MINUS; dc (I) X,i /V6/MINUS; dc (I) Y
-40,2.86898663220474e-10,-40,0.000272049800775792,-40,3.469169145874803e-11,-40,4.0040900260326e-10
-36.2,2.869752582326317e-10,-36.2,0.0002718776163977634,-36.2,3.469177181354062e-11,-36.2,4.099053329636029e-10
-32.40000000000001,2.870575388762596e-10,-32.40000000000001,0.0002717071143730465,-32.40000000000001,3.469187350019668e-11,-32.40000000000001,4.215223005722985e-10
-28.6,2.871555807008296e-10,-28.6,0.0002715322509766906,-28.6,3.469200863564193e-11,-28.6,4.357934980899032e-10
-24.8,2.872803019066177e-10,-24.8,0.0002713642734686496,-24.8,3.469219587540765e-11,-24.8,4.533670892375476e-10
-21,2.87444970239669e-10,-21,0.0002711971501405133,-21,3.469246371286649e-11,-21,4.750252072084353e-10
-17.2,2.876687066049075e-10,-17.2,0.0002710305144115845,-17.2,3.469285527933997e-11,-17.2,5.017055085778916e-10
-13.4,2.879778050794034e-10,-13.4,0.0002708641377771512,-13.4,3.469343524885864e-11,-13.4,5.345249754886691e-10
-9.600000000000001,2.884085636336037e-10,-9.600000000000001,0.0002706978025125841,-9.600000000000001,3.469429965516661e-11,-9.600000000000001,5.748060016394286e-10
-5.800000000000002,2.890110171015274e-10,-5.800000000000002,0.0002705359549439139,-5.800000000000002,3.469558969358438e-11,-5.800000000000002,6.241048027800707e-10
-2.000000000000002,2.898524106062553e-10,-2.000000000000002,0.0002703689638299876,-2.000000000000002,3.469751091398515e-11,-2.000000000000002,6.842421649100358e-10
1.799999999999998,2.910234281750945e-10,1.799999999999998,0.0002701971830663813,1.799999999999998,3.470035961919099e-11,1.799999999999998,7.573366077970419e-10
5.599999999999998,2.926455917199598e-10,5.599999999999998,0.0002700291525090069,5.599999999999998,3.470455878062255e-11,5.599999999999998,8.458399583275077e-10
9.399999999999999,2.948785226036331e-10,9.399999999999999,0.0002698603897997097,9.399999999999999,3.471070635588e-11,9.399999999999999,9.525753302438741e-10
13.2,2.979317225831776e-10,13.2,0.0002696907263347226,13.2,3.471963952433696e-11,13.2,1.080777569506083e-09
17,3.020775600584999e-10,17,0.000269520069601034,17,3.473251901126241e-11,17,1.234136073069892e-09
20.8,3.076677748182265e-10,20.8,0.0002693483390539689,20.8,3.475093825472916e-11,20.8,1.41683993739676e-09
24.6,3.151529858970617e-10,24.6,0.0002691754690548253,24.6,3.477706257978831e-11,24.6,1.633625340393439e-09
28.4,3.251078386989281e-10,28.4,0.0002690014289022203,28.4,3.481380364823533e-11,28.4,1.889825036642982e-09
32.2,3.382597945991793e-10,32.2,0.0002688261659588365,32.2,3.486503416816214e-11,32.2,2.191419824903813e-09
36,3.555254878523607e-10,36,0.0002686496661045914,36,3.493584725853453e-11,36,2.545091827300047e-09
39.8,3.780543565517885e-10,39.8,0.0002684719461602581,39.8,3.503286428421915e-11,39.8,2.958279402671221e-09
43.59999999999999,4.072818096121491e-10,43.59999999999999,0.0002682930357333054,43.59999999999999,3.516459462857432e-11,43.59999999999999,3.439233501149591e-09
47.39999999999999,4.449934419933576e-10,47.39999999999999,0.0002681129864036487,47.39999999999999,3.534185024543981e-11,47.39999999999999,3.997075253033284e-09
51.19999999999999,4.934043505424569e-10,51.19999999999999,0.0002679318681829943,51.19999999999999,3.557831988655361e-11,51.19999999999999,4.641854573317619e-09
54.99999999999999,5.552562321304454e-10,54.99999999999999,0.0002677497776637694,54.99999999999999,3.589934853809608e-11,54.99999999999999,5.384609551863157e-09
58.79999999999998,6.339371132582872e-10,58.79999999999998,0.0002675694926483174,58.79999999999998,3.644192823353135e-11,58.79999999999998,6.237426394777409e-09
62.59999999999998,7.33629946170117e-10,62.59999999999998,0.0002673857720772529,62.59999999999998,3.728076303421127e-11,62.59999999999998,7.213499648677493e-09
66.39999999999998,8.594993650343098e-10,66.39999999999998,0.0002672015351243701,66.39999999999998,3.83934514570192e-11,66.39999999999998,8.327192519359104e-09
70.19999999999997,1.017925430559522e-09,70.19999999999997,0.0002670145750968682,70.19999999999997,3.982263483776047e-11,70.19999999999997,9.594096951140406e-09
73.99999999999997,1.216800220237757e-09,73.99999999999997,0.0002668300336072622,73.99999999999997,4.163142567099047e-11,73.99999999999997,1.103109330201528e-08
77.79999999999997,1.465905184505159e-09,77.79999999999997,0.0002666457158697405,77.79999999999997,4.389138812662424e-11,77.79999999999997,1.265640929824544e-08
81.59999999999997,1.777393686228349e-09,81.59999999999997,0.0002664619476989226,81.59999999999997,4.667740954952509e-11,81.59999999999997,1.448967811232357e-08
85.39999999999996,2.16641066178892e-09,85.39999999999996,0.000266279090962064,85.39999999999996,5.006153861992578e-11,85.39999999999996,1.655199529940284e-08
89.19999999999996,2.651889817219363e-09,89.19999999999996,0.0002660996724208136,89.19999999999996,5.384615917993721e-11,89.19999999999996,1.886597442454566e-08
92.99999999999996,3.257581926674353e-09,92.99999999999996,0.0002659198796894388,92.99999999999996,5.827017809842805e-11,92.99999999999996,2.145580120087471e-08
96.79999999999995,4.013382895449233e-09,96.79999999999995,0.0002657424076362879,96.79999999999995,6.395786584325808e-11,96.79999999999995,2.434728605486969e-08
100.6,4.957050374731734e-09,100.6,0.000265567844076564,100.6,7.128325368035504e-11,100.6,2.756791498932809e-08
104.3999999999999,6.136401047776812e-09,104.3999999999999,0.0002653968452547709,104.3999999999999,8.069549026732691e-11,104.3999999999999,3.114689877073785e-08
108.1999999999999,7.612019467673353e-09,108.1999999999999,0.0002652283053127855,108.1999999999999,9.275181977535499e-11,108.1999999999999,3.511522048023889e-08
111.9999999999999,9.461244042314553e-09,111.9999999999999,0.0002650667559514818,111.9999999999999,1.081444705068443e-10,111.9999999999999,3.950568159686297e-08
115.7999999999999,1.178255589222034e-08,115.7999999999999,0.0002649112343137937,115.7999999999999,1.277314169121494e-10,115.7999999999999,4.435294684505481e-08
119.5999999999999,1.470163199439652e-08,119.5999999999999,0.0002647627469442389,119.5999999999999,1.525728487425073e-10,119.5999999999999,4.969358825098958e-08
123.3999999999999,1.837895116078756e-08,123.3999999999999,0.0002646224193769331,123.3999999999999,1.839746065404462e-10,123.3999999999999,5.556612894652144e-08
