i /V0/MINUS; dc (I) X,i /V0/MINUS; dc (I) Y,i /V1/MINUS; dc (I) X,i /V1/MINUS; dc (I) Y,i /V5/MINUS; dc (I) X,i /V5/MINUS; dc (I) Y,i /V6/MINUS; dc (I) X,i /V6/MINUS; dc (I) Y
-40,3.31159220184527e-05,-40,0.0003069873704692108,-40,3.441164001561815e-11,-40,3.934199602463098e-10
-36.2,3.316216975447798e-05,-36.2,0.0003068254151844802,-36.2,3.441163833660343e-11,-36.2,4.027357445764068e-10
-32.40000000000001,3.320689927330956e-05,-32.40000000000001,0.0003066644427724494,-32.40000000000001,3.44116569543425e-11,-32.40000000000001,4.141610158932012e-10
-28.6,3.324877249609868e-05,-28.6,0.0003064969768977911,-28.6,3.441172600153005e-11,-28.6,4.282277479175622e-10
-24.8,3.329059526423171e-05,-24.8,0.0003063371359379195,-24.8,3.441181440715593e-11,-24.8,4.455819790257033e-10
-21,3.333102227203064e-05,-21,0.0003061774481219276,-21,3.441196366003436e-11,-21,4.670030863547792e-10
-17.2,3.33700565272066e-05,-17.2,0.0003060175108383852,-17.2,3.441220371010681e-11,-17.2,4.934251527077504e-10
-13.4,3.340773345504796e-05,-13.4,0.0003058570921549904,-13.4,3.441257895582913e-11,-13.4,5.259605658068865e-10
-9.600000000000001,3.344408469224847e-05,-9.600000000000001,0.0003056959682871813,-9.600000000000001,3.44131554481697e-11,-9.600000000000001,5.659258603248126e-10
-5.800000000000002,3.348025268117454e-05,-5.800000000000002,0.0003055397275634098,-5.800000000000002,3.441401297890858e-11,-5.800000000000002,6.148698375677142e-10
-2.000000000000002,3.351400733699731e-05,-2.000000000000002,0.0003053763965210215,-2.000000000000002,3.441532987189157e-11,-2.000000000000002,6.746039873035895e-10
1.799999999999998,3.354550394046143e-05,1.799999999999998,0.0003052064552590207,1.799999999999998,3.441731061427287e-11,1.799999999999998,7.472352409642078e-10
5.599999999999998,3.357684904835672e-05,5.599999999999998,0.0003050405793559278,5.599999999999998,3.442021919270759e-11,5.599999999999998,8.352010876144195e-10
9.399999999999999,3.360703623243075e-05,9.399999999999999,0.0003048732105581575,9.399999999999999,3.442449528259336e-11,9.399999999999999,9.41307040280166e-10
13.2,3.363607837120257e-05,13.2,0.0003047041577275772,13.2,3.443073765085093e-11,13.2,1.068766468978603e-09
17,3.36640080903074e-05,17,0.0003045333247502221,17,3.443978642122742e-11,17,1.221242741911086e-09
20.8,3.36908556239315e-05,20.8,0.0003043606252748124,20.8,3.445281209553224e-11,20.8,1.402893609659789e-09
24.6,3.371665136298602e-05,24.6,0.0003041859877626534,24.6,3.447143402996021e-11,24.6,1.618417733134868e-09
28.4,3.374143104400367e-05,28.4,0.0003040093808690322,28.4,3.449787747389645e-11,28.4,1.87310323468446e-09
