i /V0/MINUS; dc (I) X,i /V0/MINUS; dc (I) Y,i /V1/MINUS; dc (I) X,i /V1/MINUS; dc (I) Y,i /V5/MINUS; dc (I) X,i /V5/MINUS; dc (I) Y,i /V6/MINUS; dc (I) X,i /V6/MINUS; dc (I) Y
-40,2.868987106858704e-10,-40,1.749317502490937e-08,-40,3.469169281809015e-11,-40,4.034805023264235e-10
-36.2,2.869752651067754e-10,-36.2,1.782981093247935e-08,-36.2,3.469177318496228e-11,-36.2,4.131935298651622e-10
-32.40000000000001,2.870575808658874e-10,-32.40000000000001,1.822107816882656e-08,-32.40000000000001,3.469187488591174e-11,-32.40000000000001,4.250765927508283e-10
-28.6,2.871556491843972e-10,-28.6,1.867965505829047e-08,-28.6,3.469201003932787e-11,-28.6,4.396716541122743e-10
-24.8,2.872803538761923e-10,-24.8,1.922075375293029e-08,-24.8,3.469219730355785e-11,-24.8,4.576351188891623e-10
-21,2.874452816877798e-10,-21,1.986259877858676e-08,-21,3.469246517578231e-11,-21,4.797556631826708e-10
-17.2,2.876689875424018e-10,-17.2,2.062697218778406e-08,-17.2,3.469285679327218e-11,-17.2,5.069691102532183e-10
-13.4,2.879779716965403e-10,-13.4,2.153888529644909e-08,-13.4,3.469343683887588e-11,-13.4,5.403338075381901e-10
-9.600000000000001,2.884088878897099e-10,-9.600000000000001,2.262541046595043e-08,-9.600000000000001,3.4694301359151e-11,-9.600000000000001,5.810009094280739e-10
-5.800000000000002,2.890110929761566e-10,-5.800000000000002,2.391982015521098e-08,-5.800000000000002,3.469559156788826e-11,-5.800000000000002,6.305509776808385e-10
-2.000000000000002,2.898524935617832e-10,-2.000000000000002,2.546351476527321e-08,-2.000000000000002,3.469751304048297e-11,-2.000000000000002,6.909520929400413e-10
1.799999999999998,2.910236810398551e-10,1.799999999999998,2.73033142413576e-08,1.799999999999998,3.470036211537936e-11,1.799999999999998,7.642945689697387e-10
5.599999999999998,2.926458179469514e-10,5.599999999999998,2.949266274743915e-08,5.599999999999998,3.470456181283522e-11,5.599999999999998,8.529259530150395e-10
9.399999999999999,2.948787391475548e-10,9.399999999999999,3.209194729965023e-08,9.399999999999999,3.471071015508167e-11,9.399999999999999,9.597525760613401e-10
13.2,2.979320011493164e-10,13.2,3.516890516914056e-08,13.2,3.471964440609631e-11,13.2,1.08803031822243e-09
17,3.020778676849798e-10,17,3.880225964334834e-08,17,3.473252539882164e-11,17,1.241446923077895e-09
20.8,3.076679369712706e-10,20.8,4.308076614318728e-08,20.8,3.475094670363186e-11,20.8,1.424198412940388e-09
24.6,3.151531141516391e-10,24.6,4.810433449613562e-08,24.6,3.477707380152523e-11,24.6,1.64102583931437e-09
28.4,3.251080834487901e-10,28.4,5.398505330582461e-08,28.4,3.4813818525628e-11,28.4,1.897264597272482e-09
32.2,3.382601535087856e-10,32.2,6.084820348469811e-08,32.2,3.486505375375541e-11,32.2,2.198896838258138e-09
36,3.555260619881543e-10,36,6.883331484626104e-08,36,3.49358727407413e-11,36,2.552605390302842e-09
39.8,3.780551627026033e-10,39.8,7.809522631192811e-08,39.8,3.503289690143507e-11,39.8,2.96582898599148e-09
43.59999999999999,4.072830829423473e-10,43.59999999999999,8.880520683873987e-08,43.59999999999999,3.516463550532329e-11,43.59999999999999,3.446818771765232e-09
47.39999999999999,4.449953368157374e-10,47.39999999999999,1.011521078785494e-07,47.39999999999999,3.534190012006984e-11,47.39999999999999,4.004695976529678e-09
51.19999999999999,4.934071985730252e-10,51.19999999999999,1.15343510298488e-07,51.19999999999999,3.557837920417208e-11,51.19999999999999,4.6495105596591e-09
54.99999999999999,5.552604259396565e-10,54.99999999999999,1.316068548862678e-07,54.99999999999999,3.589945146984469e-11,54.99999999999999,5.392300626180026e-09
58.79999999999998,6.339433388595811e-10,58.79999999999998,1.501905818109713e-07,58.79999999999998,3.644225467891645e-11,58.79999999999998,6.245152377433409e-09
62.59999999999998,7.336390756601381e-10,62.59999999999998,1.713652414868558e-07,62.59999999999998,3.728123461747249e-11,62.59999999999998,7.221260359488248e-09
66.39999999999998,8.595127200492037e-10,66.39999999999998,1.95424617449337e-07,66.39999999999998,3.839403994860048e-11,66.39999999999998,8.334987762138007e-09
70.19999999999997,1.017944838819769e-09,70.19999999999997,2.226868682473269e-07,70.19999999999997,3.982333821555713e-11,70.19999999999997,9.601926520473458e-09
73.99999999999997,1.216828213750094e-09,73.99999999999997,2.534956254276846e-07,73.99999999999997,4.163223565325937e-11,73.99999999999997,1.103895697368385e-08
