/I7/VDD1V5 X,/I7/VDD1V5 Y,/I7/VDDP5V X,/I7/VDDP5V Y,/I7/VDDVS X,/I7/VDDVS Y
-40,7.375040773790393e-10,-40,8.158351005320461e-11,-40,2.873672336104679e-09
-35.2,7.869651858377352e-10,-35.2,8.162507877809859e-11,-35.2,2.87532765522594e-09
-30.4,8.495353359281101e-10,-30.4,8.166651493128572e-11,-30.4,2.877306787175824e-09
-25.6,9.283097838456336e-10,-25.6,8.17085283097654e-11,-25.6,2.87864817865646e-09
-20.8,1.026999979126075e-09,-20.8,8.175360032903203e-11,-20.8,2.879935479080476e-09
-16,1.150035972131633e-09,-16,8.180531477925548e-11,-16,2.881603759866224e-09
-11.2,1.30268971094867e-09,-11.2,8.186893630116867e-11,-11.2,2.883261944617422e-09
-6.399999999999999,1.49124153002531e-09,-6.399999999999999,8.195310190255619e-11,-6.399999999999999,2.884394272710072e-09
-1.6,1.723208119382448e-09,-1.6,8.207048915340402e-11,-1.6,2.886007874769523e-09
3.2,2.00756509884919e-09,3.2,8.224296840361932e-11,3.2,2.88742844524196e-09
8,2.355649159128877e-09,8,8.250483406665068e-11,8,2.888729173324385e-09
12.8,2.782709454713107e-09,12.8,8.291378460840138e-11,12.8,2.890692665630644e-09
17.6,3.298814063523059e-09,17.6,8.357732736303561e-11,17.6,2.892430163532134e-09
22.4,3.917331481285966e-09,22.4,8.471331235443165e-11,22.4,2.893870621214557e-09
27.2,4.658323247702662e-09,27.2,8.687853321111949e-11,27.2,2.89561417431111e-09
32,5.544370920190028e-09,32,9.190892514826095e-11,32,2.897553288363267e-09
36.8,6.600717683644216e-09,36.8,1.041154268651065e-10,36.8,2.900339082212608e-09
41.59999999999999,7.855880454867199e-09,41.59999999999999,1.256923224769708e-10,41.59999999999999,2.903955136685173e-09
46.39999999999999,9.342140078579248e-09,46.39999999999999,1.578504116298869e-10,46.39999999999999,2.907773655644336e-09
51.19999999999999,1.109591211225636e-08,51.19999999999999,2.035449480502625e-10,51.19999999999999,2.914813973652987e-09
55.99999999999999,1.315808375851476e-08,55.99999999999999,2.313721943301851e-10,55.99999999999999,2.955796346927815e-09
60.79999999999998,1.5574310817714e-08,60.79999999999998,2.458398233981285e-10,60.79999999999998,3.046168350742096e-09
65.59999999999998,1.839529176017469e-08,65.59999999999998,2.662294796293482e-10,65.59999999999998,3.173437867321691e-09
70.39999999999998,2.167699453308897e-08,70.39999999999998,2.953423114826165e-10,70.39999999999998,3.354125530657178e-09
75.19999999999997,2.54808422292316e-08,75.19999999999997,3.370622954987088e-10,75.19999999999997,3.610087032827044e-09
79.99999999999997,2.987385053903841e-08,79.99999999999997,3.97005962738688e-10,79.99999999999997,3.973634743038861e-09
84.79999999999997,3.492869875151062e-08,84.79999999999997,4.833442774527158e-10,84.79999999999997,4.491096411829698e-09
89.59999999999997,4.072383582907316e-08,89.59999999999997,6.079824646600786e-10,89.59999999999997,5.227401921961622e-09
94.39999999999996,4.734336735172041e-08,94.39999999999996,7.882629776964793e-10,94.39999999999996,6.278208633974979e-09
99.19999999999996,5.48770636148512e-08,99.19999999999996,1.049413748409178e-09,99.19999999999996,7.781255091419668e-09
104,6.342023656335691e-08,104,1.428034862394979e-09,104,9.933053060978898e-09
108.8,7.307358435763044e-08,108.8,1.977039233631614e-09,108.8,1.301644581073307e-08
113.6,8.394298763032762e-08,113.6,2.772587604582444e-09,113.6,1.743934671707572e-08
118.3999999999999,9.6139273626689e-08,118.3999999999999,3.923763216096938e-09,118.3999999999999,2.378161640000499e-08
123.1999999999999,1.097779855500723e-07,123.1999999999999,5.58594262749235e-09,123.1999999999999,3.286457609860201e-08
127.9999999999999,1.249792148823035e-07,127.9999999999999,7.979154324913655e-09,127.9999999999999,4.585494265624295e-08
132.8,1.418675286371289e-07,132.8,1.14130720464559e-08,132.8,6.438550189428761e-08
137.6,1.605719318646254e-07,137.6,1.632079261213077e-08,137.6,9.074745066000751e-08
142.4,1.812257614976754e-07,142.4,2.330414527510923e-08,142.4,1.281163235225099e-07
147.2,2.039664572723984e-07,147.2,3.319402256404674e-08,147.2,1.808841070127352e-07
152,2.289353622810292e-07,152,4.713014541735701e-08,152,2.550786889263871e-07
156.8,2.562781378469656e-07,156.8,6.666578729388716e-08,156.8,3.589315414977529e-07
161.6,2.861472116347364e-07,161.6,9.390435017134683e-08,161.6,5.036041895533008e-07
166.4,3.187082314245104e-07,166.4,1.316762941012222e-07,166.4,7.041563088631377e-07
171.2,3.541495396259196e-07,171.2,1.837669035421585e-07,171.2,9.807925138392604e-07
176.0000000000001,3.926862383283602e-07,176.0000000000001,2.552076645346746e-07,176.0000000000001,1.360485835649074e-06
180.8000000000001,4.345527363107489e-07,180.8000000000001,3.526467904613573e-07,180.8000000000001,1.87910672126048e-06
185.6000000000001,4.79992896106834e-07,185.6000000000001,4.848176394431573e-07,185.6000000000001,2.584250742140125e-06
190.4000000000001,5.292573696495392e-07,190.4000000000001,6.631275478367568e-07,190.4000000000001,3.539137479949622e-06
195.2000000000001,5.826064844643216e-07,195.2000000000001,9.023939575660912e-07,195.2000000000001,4.828383544515653e-06
200,6.403176267914811e-07,200,1.221759798818124e-06,200,6.567733191310173e-06
