/I6/VDD1V5 X,/I6/VDD1V5 Y,/I6/VDDP5V X,/I6/VDDP5V Y,/I6/VDDVS X,/I6/VDDVS Y
-40,1.004355412199334e-05,-40,7.000205889720933e-05,-40,0.0002586722286889721
-35.2,1.0123711559773e-05,-35.2,6.909471894686406e-05,-35.2,0.0002595134540770893
-30.4,1.020416415383541e-05,-30.4,6.820290004451331e-05,-30.4,0.0002603874279265592
-25.6,1.028488727961058e-05,-25.6,6.732814760587914e-05,-25.6,0.0002612898063010271
-20.8,1.036585941421529e-05,-20.8,6.647149066410147e-05,-20.8,0.0002622163353089536
-16,1.044706317881422e-05,-16,6.56335753550789e-05,-16,0.0002631628911635199
-11.2,1.052848882886636e-05,-11.2,6.481476198498916e-05,-11.2,0.0002641255161869195
-6.399999999999999,1.061013763106064e-05,-6.399999999999999,6.401519638382156e-05,-6.399999999999999,0.0002651004417094585
-1.6,1.069202522592011e-05,-1.6,6.323486293996348e-05,-1.6,0.0002660841079008096
3.2,1.077418504642717e-05,3.2,6.247362444371376e-05,3.2,0.0002670731720180432
8,1.085667188731694e-05,8,6.173125230752318e-05,8,0.0002680645160007754
12.8,1.09395655113078e-05,12.8,6.100744969213343e-05,12.8,0.0002690552419676702
17.6,1.102297429483192e-05,17.6,6.03018693386946e-05,17.6,0.0002700426696010417
22.4,1.110703905806485e-05,22.4,5.961412739929692e-05,22.4,0.0002710243285940419
27.2,1.119193693288069e-05,27.2,5.894381423075257e-05,27.2,0.0002719979459772822
32,1.127788523879259e-05,32,5.829050284053339e-05,32,0.0002729614323619584
36.8,1.136514536402877e-05,36.8,5.765375552033182e-05,36.8,0.0002739128704121828
41.59999999999999,1.145402662566801e-05,41.59999999999999,5.703312905520045e-05,41.59999999999999,0.0002748504956189171
46.39999999999999,1.154489010437582e-05,46.39999999999999,5.642817880912759e-05,46.39999999999999,0.0002757726834095709
51.19999999999999,1.163815246483572e-05,51.19999999999999,5.583846191124762e-05,51.19999999999999,0.0002766779323419632
55.99999999999999,1.173428978568476e-05,55.99999999999999,5.526353970251373e-05,55.99999999999999,0.0002775648459168698
60.79999999999998,1.183384143548745e-05,60.79999999999998,5.470297956665197e-05,60.79999999999998,0.0002784321225642882
65.59999999999998,1.193664076796077e-05,65.59999999999998,5.415635611251308e-05,65.59999999999998,0.0002792785313938044
70.39999999999998,1.204489574442801e-05,70.39999999999998,5.36232523192742e-05,70.39999999999998,0.0002801029131521968
75.19999999999997,1.215860986635846e-05,75.19999999999997,5.310325914624707e-05,75.19999999999997,0.0002809041524479891
79.99999999999997,1.227860660480037e-05,79.99999999999997,5.259597549991454e-05,79.99999999999997,0.0002816811757423088
84.79999999999997,1.24058065787498e-05,84.79999999999997,5.21010069068529e-05,84.79999999999997,0.0002824329383093524
89.59999999999997,1.254122334461492e-05,89.59999999999997,5.161796320841556e-05,89.59999999999997,0.0002831584184838768
94.39999999999996,1.268597267253566e-05,94.39999999999996,5.114645477159891e-05,94.39999999999996,0.0002838566131043389
99.19999999999996,1.28412832856593e-05,99.19999999999996,5.06860865952014e-05,99.19999999999996,0.0002845265363731507
104,1.300851567061441e-05,104,5.023644943247133e-05,104,0.0002851672207649226
108.8,1.318918696429137e-05,108.8,4.979710671586948e-05,108.8,0.0002857777290558006
113.6,1.33850088820604e-05,113.6,4.936757559491431e-05,113.6,0.0002863571707377962
118.3999999999999,1.359794462763327e-05,118.3999999999999,4.894729980692617e-05,118.3999999999999,0.0002869047253316768
123.1999999999999,1.383029469365456e-05,123.1999999999999,4.853561134962843e-05,123.1999999999999,0.0002874196841003578
127.9999999999999,1.408482700569757e-05,127.9999999999999,4.813167633340146e-05,127.9999999999999,0.0002879015081002404
132.8,1.436643257711912e-05,132.8,4.773442084144866e-05,132.8,0.0002883499115779064
137.6,1.467677452441103e-05,137.6,4.734242903360147e-05,137.6,0.0002887649463991037
142.4,1.50230908029347e-05,142.4,4.695380258117155e-05,142.4,0.0002891471923258848
147.2,1.541361010786214e-05,147.2,4.656597074526121e-05,147.2,0.0002894979340159652
152,1.586034307153023e-05,152,4.617544400402919e-05,152,0.0002898194280549012
156.8,1.638182461127191e-05,156.8,4.577747115089326e-05,156.8,0.0002901152674237646
161.6,1.700876367867152e-05,161.6,4.536560170640619e-05,161.6,0.0002903908370666841
166.4,1.779723903848781e-05,166.4,4.493109304687926e-05,166.4,0.0002906539372817668
171.2,1.886633408713665e-05,171.2,4.446210962081517e-05,171.2,0.0002909156165048005
176.0000000000001,2.055002409572118e-05,176.0000000000001,4.394274116161605e-05,176.0000000000001,0.0002911911731344556
180.8000000000001,2.610452774842122e-05,180.8000000000001,4.335155700682537e-05,180.8000000000001,0.0002915016729086151
185.6000000000001,1.409443360965864e-05,185.6000000000001,4.26597726061487e-05,185.6000000000001,0.0002918758172592254
190.4000000000001,1.408231685016513e-05,190.4000000000001,4.182870020287307e-05,190.4000000000001,0.0002923525670544757
195.2000000000001,1.409445624861961e-05,195.2000000000001,4.080624274291216e-05,195.2000000000001,0.0002929847233503623
200,1.412309963474096e-05,200,3.95213469995211e-05,200,0.0002938446775971027
