/net8 X,/net8 Y,/net10 X,/net10 Y,/net016 X,/net016 Y,/net017 X,/net017 Y
-40,1.673238123624355e-05,-40,4.221862723606373e-09,-40,3.028339169652849e-09,-40,2.094869414908346e-08
-35.2,1.675348272234072e-05,-35.2,4.486407227242827e-09,-35.2,3.181058937403541e-09,-35.2,2.148537330059309e-08
-30.4,1.677507816753203e-05,-30.4,4.841672255882011e-09,-30.4,3.352498136521954e-09,-30.4,2.202735829663684e-08
-25.6,1.679715362968156e-05,-25.6,5.323233134281804e-09,-25.6,3.546373580132035e-09,-25.6,2.257462043552946e-08
-20.8,1.681969112173103e-05,-20.8,5.978217613061224e-09,-20.8,3.767464172127416e-09,-20.8,2.312712852700118e-08
-16,1.684265986306376e-05,-16,6.868271947395851e-09,-16,4.021974501468384e-09,-16,2.368483864886074e-08
-11.2,1.686600754211735e-05,-11.2,8.073077437511849e-09,-11.2,4.318006786263245e-09,-11.2,2.424768495895792e-08
-6.399999999999999,1.688964607119133e-05,-6.399999999999999,9.694474279313794e-09,-6.399999999999999,4.666166111069904e-09,-6.399999999999999,2.481556399295415e-08
-1.6,1.691343867849064e-05,-1.6,1.186124591672948e-08,-1.6,5.080326848595201e-09,-1.6,2.538831799049258e-08
3.2,1.693719872697461e-05,3.2,1.47346163335781e-08,3.2,5.578591219570967e-09,3.2,2.596573458234162e-08
8,1.696068643402107e-05,8,1.851450521834069e-08,8,6.184475404944881e-09,8,2.654754229598741e-08
12.8,1.698360479550442e-05,12.8,2.344658318623088e-08,12.8,6.92836070005769e-09,12.8,2.713341362384153e-08
17.6,1.700563657015516e-05,17.6,2.983015912639961e-08,17.6,7.849251831397121e-09,17.6,2.772302515852837e-08
22.4,1.702660352140978e-05,22.4,3.802692564322739e-08,22.4,8.996887515534164e-09,22.4,2.83162796543413e-08
27.2,1.704710326825609e-05,27.2,4.847057914216564e-08,27.2,1.043424912111902e-08,27.2,2.891416083186401e-08
32,1.70709686162613e-05,32,6.167732014847345e-08,32,1.224051914744476e-08,32,2.952191353641138e-08
36.8,1.710774239197835e-05,36.8,7.825723021913425e-08,36.8,1.451453996045303e-08,36.8,3.015271932783668e-08
41.59999999999999,1.715966855829138e-05,41.59999999999999,9.89265100571933e-08,41.59999999999999,1.737882679720392e-08,41.59999999999999,3.081266198967782e-08
46.39999999999999,1.723342791023473e-05,46.39999999999999,1.245205525797072e-07,46.39999999999999,2.098418840605129e-08,46.39999999999999,3.151563276131477e-08
51.19999999999999,1.734209924189468e-05,51.19999999999999,1.56007812736231e-07,51.19999999999999,2.551500918749481e-08,51.19999999999999,3.22878743298778e-08
55.99999999999999,1.750726712891482e-05,55.99999999999999,1.945044268714459e-07,55.99999999999999,3.119524795444576e-08,55.99999999999999,3.317403746534855e-08
60.79999999999998,1.776739341641109e-05,60.79999999999998,2.412895204183924e-07,60.79999999999998,3.829520341574419e-08,60.79999999999998,3.425361710074135e-08
65.59999999999998,1.818632295710948e-05,65.59999999999998,2.978211359321642e-07,65.59999999999998,4.713909832001291e-08,65.59999999999998,3.566150602315402e-08
70.39999999999998,1.88687034774821e-05,70.39999999999998,3.657527024288859e-07,70.39999999999998,5.811352941374257e-08,70.39999999999998,3.762367759307949e-08
75.19999999999997,1.998397282782957e-05,75.19999999999997,4.469499589014136e-07,75.19999999999997,7.16768273264593e-08,75.19999999999997,4.051383937968045e-08
79.99999999999997,2.18040333756073e-05,79.99999999999997,5.435082389319835e-07,79.99999999999997,8.836936526173473e-08,79.99999999999997,4.494407262196478e-08
84.79999999999997,2.47589059368336e-05,84.79999999999997,6.577700156180057e-07,84.79999999999997,1.088248537660352e-07,84.79999999999997,5.190202622782312e-08
89.59999999999997,2.952212159445319e-05,89.59999999999997,7.923426032005863e-07,89.59999999999997,1.337826500926943e-07,89.59999999999997,6.296511955352099e-08
94.39999999999996,3.713633574293223e-05,94.39999999999996,9.50115909076172e-07,94.39999999999996,1.641011058836339e-07,94.39999999999996,8.062268267736157e-08
99.19999999999996,4.919740678210685e-05,99.19999999999996,1.134280127783067e-06,99.19999999999996,2.007719724768135e-07,99.19999999999996,1.087581601465698e-07
104,6.81205543755355e-05,104,1.348343269221414e-06,104,2.449358751732255e-07,104,1.533621299223362e-07
108.8,9.752041335281899e-05,108.8,1.596148418312095e-06,108.8,2.978988621105029e-07,108.8,2.235753938021226e-07
113.6,0.00014274651946338,113.6,1.881890623465666e-06,113.6,3.611500278731985e-07,113.6,3.331991245009335e-07
118.3999999999999,0.0002116264429109496,118.3999999999999,2.210133322639472e-06,118.3999999999999,4.363802081233935e-07,118.3999999999999,5.028586904246251e-07
123.1999999999999,0.000315479002845239,123.1999999999999,2.585824220261884e-06,123.1999999999999,5.255017340842381e-07,123.1999999999999,7.630726796107415e-07
127.9999999999999,0.0004704659567901939,127.9999999999999,3.01431054208946e-06,127.9999999999999,6.306692381559774e-07,127.9999999999999,1.158562583923804e-06
132.8,0.000699345208111884,132.8,3.501353606156637e-06,132.8,7.54301496368377e-07,132.8,1.754245569652038e-06
137.6,0.001033657084795101,137.6,4.05314266664754e-06,137.6,8.991043004841582e-07,137.6,2.643488382304416e-06
142.4,0.001516295164970664,142.4,4.676308002919814e-06,142.4,1.068094354845777e-06,142.4,3.959369494185713e-06
147.2,0.002204244910647188,147.2,5.377933252322201e-06,147.2,1.264624205184898e-06,147.2,5.889909060822829e-06
152,0.003170968631763803,152,6.165567007278472e-06,152,1.492408222895815e-06,152,8.698495221926342e-06
156.8,0.004507429377320048,156.8,7.047233732152184e-06,156.8,1.755549691376872e-06,156.8,1.275108644029731e-05
161.6,0.006320109448442775,161.6,8.031444088635524e-06,161.6,2.058569072251892e-06,161.6,1.855224899630078e-05
166.4,0.008723848716654957,166.4,9.127204802967792e-06,166.4,2.406433574673791e-06,166.4,2.679276105072057e-05
171.2,0.01182762481990576,171.2,1.034402825849614e-05,171.2,2.804588204011778e-06,171.2,3.841244136640427e-05
176.0000000000001,0.01571371535923016,176.0000000000001,1.169194205957369e-05,176.0000000000001,3.258988541761422e-06,176.0000000000001,5.468300504661861e-05
180.8000000000001,0.02041565860958052,180.8000000000001,1.318149888215187e-05,180.8000000000001,3.776135599135282e-06,180.8000000000001,7.731689029010766e-05
185.6000000000001,0.02590568012746935,185.6000000000001,1.482378701798882e-05,185.6000000000001,4.36311320120509e-06,185.6000000000001,0.0001086089035091673
190.4000000000001,0.03210166289483719,190.4000000000001,1.66304421213576e-05,190.4000000000001,5.027628504147308e-06,190.4000000000001,0.0001516186526454842
195.2000000000001,0.03889409692286229,195.2000000000001,1.861366079330566e-05,195.2000000000001,5.778056423668121e-06,195.2000000000001,0.000210404923195695
