/net8 X,/net8 Y,/net10 X,/net10 Y,/net016 X,/net016 Y,/net017 X,/net017 Y
-40,1.673238124040672e-05,-40,4.221862704740879e-09,-40,3.028339143939508e-09,-40,2.094869410504216e-08
-35.2,1.675348272714539e-05,-35.2,4.486407208377333e-09,-35.2,3.181058968275818e-09,-35.2,2.148537326974135e-08
-30.4,1.677507818111112e-05,-30.4,4.841672237016516e-09,-30.4,3.35249822396612e-09,-30.4,2.202735810179092e-08
-25.6,1.679715364071392e-05,-25.6,5.323233173269012e-09,-25.6,3.546373554458017e-09,-25.6,2.257462043859983e-08
-20.8,1.681969113690165e-05,-20.8,5.978217652048431e-09,-20.8,3.767464146453398e-09,-20.8,2.312712835293552e-08
-16,1.684265987635389e-05,-16,6.868271928583387e-09,-16,4.021974475794366e-09,-16,2.368483883515728e-08
-11.2,1.686600754488775e-05,-11.2,8.073077418699388e-09,-11.2,4.318006760589228e-09,-11.2,2.424768492568685e-08
-6.399999999999999,1.688964604009963e-05,-6.399999999999999,9.694474260501331e-09,-6.399999999999999,4.666166141906689e-09,-6.399999999999999,2.481556386773285e-08
-1.6,1.69134386038697e-05,-1.6,1.186124589791702e-08,-1.6,5.080326879431987e-09,-1.6,2.53883179902355e-08
3.2,1.693719854902364e-05,3.2,1.473461631476564e-08,3.2,5.578591250407749e-09,3.2,2.596573447124162e-08
8,1.696068603966085e-05,8,1.851450519952822e-08,8,6.184475435782791e-09,8,2.654754190025022e-08
12.8,1.698360397169375e-05,12.8,2.344658328274171e-08,12.8,6.928360674427752e-09,12.8,2.713341257442325e-08
17.6,1.70056349193317e-05,17.6,2.983015910762727e-08,17.6,7.84925191868179e-09,17.6,2.772302339580764e-08
22.4,1.702660038054036e-05,22.4,3.802692562445506e-08,22.4,8.99688754637061e-09,22.4,2.83162761223321e-08
27.2,1.704709773327575e-05,27.2,4.847057918099712e-08,27.2,1.043424915195548e-08,27.2,2.89141539703807e-08
32,1.7070961321757e-05,32,6.167732018730492e-08,32,1.224051906542311e-08,32,2.952190474966148e-08
36.8,1.710773694584164e-05,36.8,7.825723020039723e-08,36.8,1.451453999127226e-08,36.8,3.015271266566036e-08
41.59999999999999,1.715966096101678e-05,41.59999999999999,9.892651015355935e-08,41.59999999999999,1.737882677161251e-08,41.59999999999999,3.08126523539105e-08
46.39999999999999,1.72334247692963e-05,46.39999999999999,1.245205525610025e-07,46.39999999999999,2.098418843685778e-08,46.39999999999999,3.151562884606962e-08
51.19999999999999,1.734209551451221e-05,51.19999999999999,1.560078127175257e-07,51.19999999999999,2.551500921830226e-08,51.19999999999999,3.228786943811375e-08
55.99999999999999,1.750726148660686e-05,55.99999999999999,1.945044268527399e-07,55.99999999999999,3.119524798525872e-08,55.99999999999999,3.317402984547187e-08
60.79999999999998,1.7767384297168e-05,60.79999999999998,2.412895204571777e-07,60.79999999999998,3.829520333380522e-08,60.79999999999998,3.425360495035252e-08
65.59999999999998,1.818630776734074e-05,65.59999999999998,2.978211359709496e-07,65.59999999999998,4.713909823809525e-08,65.59999999999998,3.566148530290323e-08
70.39999999999998,1.886867791866579e-05,70.39999999999998,3.657527024102087e-07,70.39999999999998,5.811352950096456e-08,70.39999999999998,3.762364230156677e-08
75.19999999999997,1.998392999802205e-05,75.19999999999997,4.469499588827365e-07,75.19999999999997,7.167682735739865e-08,75.19999999999997,4.051377944877379e-08
79.99999999999997,2.180396202269828e-05,79.99999999999997,5.435082390281809e-07,79.99999999999997,8.836936529284402e-08,79.99999999999997,4.494397056301014e-08
84.79999999999997,2.475878895021786e-05,84.79999999999997,6.577700155993525e-07,84.79999999999997,1.088248537975179e-07,84.79999999999997,5.190185631293216e-08
89.59999999999997,2.952193316295511e-05,89.59999999999997,7.923426031819331e-07,89.59999999999997,1.337826501249847e-07,89.59999999999997,6.296484123608672e-08
94.39999999999996,3.713603837561241e-05,94.39999999999996,9.501159090575189e-07,94.39999999999996,1.641011059176186e-07,94.39999999999996,8.062223620324218e-08
99.19999999999996,4.919694786772929e-05,99.19999999999996,1.134280127764414e-06,99.19999999999996,2.007719725142638e-07,99.19999999999996,1.087574599416663e-07
104,6.811986211450261e-05,104,1.348343269202762e-06,104,2.44935875217575e-07,104,1.533610572650208e-07
108.8,9.751939453661864e-05,108.8,1.596148418293443e-06,108.8,2.978988620556177e-07,108.8,2.235737899631851e-07
113.6,0.0001427450575094881,113.6,1.881890623389652e-06,113.6,3.611500278436207e-07,113.6,3.33196786890268e-07
118.3999999999999,0.0002116243993101069,118.3999999999999,2.210133322563459e-06,118.3999999999999,4.363802081403509e-07,118.3999999999999,5.028553705930084e-07
123.1999999999999,0.0003154762227926277,123.1999999999999,2.585824220300558e-06,123.1999999999999,5.255017341281616e-07,123.1999999999999,7.630680911007778e-07
127.9999999999999,0.0004704622808286523,127.9999999999999,3.0143105420708e-06,127.9999999999999,6.306692382321193e-07,127.9999999999999,1.158556415986738e-06
132.8,0.0006993404914183954,132.8,3.501353606195303e-06,132.8,7.543014965201145e-07,132.8,1.754237518732981e-06
137.6,0.001033651225742925,137.6,4.053142666571572e-06,137.6,8.991043006981464e-07,137.6,2.6434781972982e-06
142.4,0.001516288143746543,142.4,4.676308002958463e-06,142.4,1.068094355185626e-06,142.4,3.959357041934629e-06
147.2,0.002204236837456789,147.2,5.37793325236085e-06,147.2,1.264624205586687e-06,147.2,5.889894417677154e-06
152,0.003170959801421219,152,6.165567007317123e-06,152,1.492408223628634e-06,152,8.698478782070499e-06
156.8,0.004507420321478063,156.8,7.047233732190834e-06,156.8,1.755549692291397e-06,156.8,1.275106904607268e-05
161.6,0.006320100967479309,161.6,8.031444088616893e-06,161.6,2.058569073536243e-06,161.6,1.855223206687877e-05
166.4,0.008723841857251393,166.4,9.12720480294916e-06,166.4,2.406433576069151e-06,166.4,2.67927466751847e-05
171.2,0.01182762073503351,171.2,1.034402825847751e-05,171.2,2.804588205134368e-06,171.2,3.841243225061004e-05
176.0000000000001,0.01571371499834371,176.0000000000001,1.169194205955507e-05,176.0000000000001,3.258988541893088e-06,176.0000000000001,5.468300417163326e-05
180.8000000000001,0.02041566194048416,180.8000000000001,1.318149888213326e-05,180.8000000000001,3.776135596718483e-06,180.8000000000001,7.731689938654776e-05
185.6000000000001,0.02590568468120565,185.6000000000001,1.482378701797021e-05,185.6000000000001,4.363113193314341e-06,185.6000000000001,0.0001086089191511478
190.4000000000001,0.0321016602017311,190.4000000000001,1.663044212133898e-05,190.4000000000001,5.027628485520071e-06,190.4000000000001,0.0001516186546020261
195.2000000000001,0.03889406268607651,195.2000000000001,1.86136607933443e-05,195.2000000000001,5.778056385875514e-06,195.2000000000001,0.0002104048387591362
200,0.04653200412615118,200,2.078621679176215e-05,200,6.623488900542668e-06,200,0.0002917790875494143
