/I6/VDD1V5 X,/I6/VDD1V5 Y,/I6/VDDP5V X,/I6/VDDP5V Y,/I6/VDDVS X,/I6/VDDVS Y
-40,1.004355412199334e-05,-40,-8.136789558564323e-11,-40,0.0002586722286889721
-35.2,1.012371155977301e-05,-35.2,-8.839424996436599e-11,-35.2,0.0002595134540770898
-30.4,1.020416415383543e-05,-30.4,-9.524299698794868e-11,-30.4,0.00026038742792656
-25.6,1.028488727961057e-05,-25.6,-1.019263807009227e-10,-25.6,0.0002612898063010312
-20.8,1.03658594142153e-05,-20.8,-1.084526898557724e-10,-20.8,0.0002622163353089552
-16,1.044706317881416e-05,-16,-1.148283174966171e-10,-16,0.0002631628911635206
-11.2,1.052848882886634e-05,-11.2,-1.210576331652181e-10,-11.2,0.000264125516186919
-6.399999999999999,1.061013763106065e-05,-6.399999999999999,-1.271420238224682e-10,-6.399999999999999,0.0002651004417094594
-1.6,1.069202522592013e-05,-1.6,-1.330804333038212e-10,-1.6,0.0002660841079008078
3.2,1.077418504642717e-05,3.2,-1.388663063058777e-10,3.2,0.0002670731720180425
8,1.085667188731694e-05,8,-1.444886131804418e-10,8,0.0002680645160007765
12.8,1.09395655113078e-05,12.8,-1.499300140281516e-10,12.8,0.0002690552419676698
17.6,1.102297429483192e-05,17.6,-1.55162559353379e-10,17.6,0.000270042669601041
22.4,1.110703905806484e-05,22.4,-1.601495024740634e-10,22.4,0.0002710243285940412
27.2,1.119193693288067e-05,27.2,-1.648398569711134e-10,27.2,0.0002719979459772816
32,1.127788523879261e-05,32,-1.691707339784406e-10,32,0.000272961432361958
36.8,1.136514536402878e-05,36.8,-1.730685311794069e-10,36.8,0.0002739128704121831
41.59999999999999,1.145402662566799e-05,41.59999999999999,-1.764589529629918e-10,41.59999999999999,0.0002748504956189168
46.39999999999999,1.154489010437583e-05,46.39999999999999,-1.792885909422582e-10,46.39999999999999,0.0002757726834095704
51.19999999999999,1.163815246483574e-05,51.19999999999999,-1.815675784352355e-10,51.19999999999999,0.0002766779323419624
55.99999999999999,1.173428978568471e-05,55.99999999999999,-1.834548113961143e-10,55.99999999999999,0.0002775648459168695
60.79999999999998,1.183384143548746e-05,60.79999999999998,-1.854036740814402e-10,60.79999999999998,0.0002784321225642871
65.59999999999998,1.193664076796077e-05,65.59999999999998,-1.884729584862056e-10,65.59999999999998,0.0002792785313938796
70.39999999999998,1.204489574442802e-05,70.39999999999998,-1.945225184096098e-10,70.39999999999998,0.000280102913152226
75.19999999999997,1.215860986635846e-05,75.19999999999997,-2.07243864194149e-10,75.19999999999997,0.0002809041524480443
79.99999999999997,1.227860660480007e-05,79.99999999999997,-2.330296635159148e-10,79.99999999999997,0.0002816811757422985
84.79999999999997,1.240580657874977e-05,84.79999999999997,-2.827354229259481e-10,84.79999999999997,0.0002824329383093805
89.59999999999997,1.254122334461487e-05,89.59999999999997,-3.743162840656607e-10,89.59999999999997,0.0002831584184838459
94.39999999999996,1.268597267253564e-05,94.39999999999996,-5.368290154530642e-10,94.39999999999996,0.0002838566131043111
99.19999999999996,1.284128328565944e-05,99.19999999999996,-8.164436958274317e-10,99.19999999999996,0.0002845265363731756
104,1.300851567061454e-05,104,-1.28536301028401e-09,104,0.0002851672207649262
108.8,1.318918696429151e-05,108.8,-2.054879000510592e-09,108.8,0.0002857777290558037
113.6,1.338500888206048e-05,113.6,-3.294268935250972e-09,113.6,0.0002863571707377956
118.3999999999999,1.359794462763328e-05,118.3999999999999,-5.257820787114183e-09,118.3999999999999,0.0002869047253317375
123.1999999999999,1.383029469365422e-05,123.1999999999999,-8.323027844469124e-09,123.1999999999999,0.000287419684100303
127.9999999999999,1.408482700569766e-05,127.9999999999999,-1.304458173750569e-08,127.9999999999999,0.0002879015081002314
132.8,1.436643257711916e-05,132.8,-2.022835094567099e-08,132.8,0.0002883499115779063
137.6,1.467677452441102e-05,137.6,-3.103305755292402e-08,137.6,0.0002887649463991035
142.4,1.502309080293469e-05,142.4,-4.711071350037063e-08,142.4,0.0002891471923258848
147.2,1.541361010786214e-05,147.2,-7.079631337995867e-08,147.2,0.0002894979340159652
152,1.586034307153016e-05,152,-1.05354031016114e-07,152,0.000289819428054901
156.8,1.638182461127179e-05,156.8,-1.5531994165921e-07,156.8,0.0002901152674237641
161.6,1.700876367867148e-05,161.6,-2.269394415381516e-07,161.6,0.0002903908370666845
166.4,1.779723903848782e-05,166.4,-3.287599660284217e-07,166.4,0.0002906539372817685
171.2,1.886633408713665e-05,171.2,-4.724316394830009e-07,171.2,0.0002909156165048001
176.0000000000001,2.055002409572112e-05,176.0000000000001,-6.736889519583781e-07,176.0000000000001,0.0002911911731344555
180.8000000000001,2.610452774841757e-05,180.8000000000001,-9.537963546954822e-07,180.8000000000001,0.0002915016729086148
185.6000000000001,1.409443360965865e-05,185.6000000000001,-1.341381690983894e-06,185.6000000000001,0.0002918758172592256
190.4000000000001,1.408231685016513e-05,190.4000000000001,-1.874985470020915e-06,190.4000000000001,0.0002923525670544756
195.2000000000001,1.409445624861977e-05,195.2000000000001,-2.606566906494873e-06,195.2000000000001,0.0002929847233503836
200,1.412309963474098e-05,200,-3.60705071527749e-06,200,0.0002938446775970574
